protein,chain,group,group1
1B8X,A,alpha,0
1GTA,A,alpha,0
1GTB,A,alpha,0
1LBE,A,alpha,0
1MIX,A,alpha,0
1MNG,A,alpha,0
1N3S,A,alpha,0
1NVQ,A,alpha,0
1P2F,A,alpha,0
2BRN,A,alpha,0
2DPM,A,alpha,0
2HWJ,A,alpha,0
2OPF,A,alpha,0
2XEZ,A,alpha,0
2YWP,A,alpha,0
2Z99,A,alpha,0
3IKT,A,alpha,0
3RAJ,A,alpha,0
3U9N,A,alpha,0
4FTL,A,alpha,0
1AQ1,A,alpha,0
1BVS,A,alpha,0
1NVR,A,alpha,0
1WUQ,A,alpha,0
1WUR,A,alpha,0
2C3K,A,alpha,0
2FB5,A,alpha,0
2OGU,A,alpha,0
2X8E,A,alpha,0
2ZPG,A,alpha,0
3COK,A,alpha,0
3OT3,A,alpha,0
3OT8,A,alpha,0
4DOI,A,alpha,0
4FSY,A,alpha,0
1BUH,A,alpha,0
1KGS,A,alpha,0
1PMT,A,alpha,0
2E9O,A,alpha,0
2E9V,A,alpha,0
2P8T,A,alpha,0
2VT2,A,alpha,0
2YDJ,A,alpha,0
2YM4,A,alpha,0
2ZV2,A,alpha,0
3FTF,A,alpha,0
3IL2,A,alpha,0
4FT7,A,alpha,0
4FTT,A,alpha,0
4GH2,A,alpha,0
5FWG,A,alpha,0
1CSN,A,alpha,0
1JST,A,alpha,0
1NVS,A,alpha,0
1O7L,A,alpha,0
1Q3B,A,alpha,0
1YS6,A,alpha,0
2BRG,A,alpha,0
2BRM,A,alpha,0
2DTR,A,alpha,0
2YM3,A,alpha,0
3A4O,X,alpha,0
3GST,A,alpha,0
3JVS,A,alpha,0
3K9P,A,alpha,0
3KEQ,A,alpha,0
3MDS,A,alpha,0
3NLB,A,alpha,0
3PA3,A,alpha,0
3PA4,A,alpha,0
3PA5,A,alpha,0
3Q9S,A,alpha,0
4FSM,A,alpha,0
4FSN,A,alpha,0
4FSZ,A,alpha,0
4FT5,A,alpha,0
4FT9,A,alpha,0
4FTJ,A,alpha,0
4FTM,A,alpha,0
4FTN,A,alpha,0
4FTQ,A,alpha,0
1A0F,A,alpha,0
1BI0,A,alpha,0
1BI1,A,alpha,0
1FD9,A,alpha,0
1HCL,A,alpha,0
1JMK,C,alpha,0
1L8L,A,alpha,0
1TFB,A,alpha,0
2BEO,A,alpha,0
2BR1,A,alpha,0
2BRB,A,alpha,0
2E9N,A,alpha,0
2PJU,A,alpha,0
2VT3,A,alpha,0
2WMQ,A,alpha,0
2XGX,A,alpha,0
2ZTD,A,alpha,0
3JVR,A,alpha,0
3KET,A,alpha,0
4FSR,A,alpha,0
4FST,A,alpha,0
4FSW,A,alpha,0
4FTA,A,alpha,0
4FTC,A,alpha,0
4FTK,A,alpha,0
4FTR,A,alpha,0
4FTU,A,alpha,0
4HYH,A,alpha,0
1B06,A,alpha,0
1BI2,A,alpha,0
1BI3,A,alpha,0
1FT5,A,alpha,0
1IS8,A,alpha,0
1L7O,A,alpha,0
1N3T,A,alpha,0
1Q6U,A,alpha,0
2BRH,A,alpha,0
2C3L,A,alpha,0
2CGW,A,alpha,0
2E9P,A,alpha,0
2FRV,A,alpha,0
2FVD,A,alpha,0
2O25,A,alpha,0
2YM5,A,alpha,0
2YM6,A,alpha,0
2YM7,A,alpha,0
4FSU,A,alpha,0
4FTI,A,alpha,0
4FTO,A,alpha,0
1AVM,A,alpha,0
1B38,A,alpha,0
1BSM,A,alpha,0
1BT8,A,alpha,0
1CKP,A,alpha,0
1FT6,A,alpha,0
1MAZ,A,alpha,0
1MW7,A,alpha,0
1NUB,A,alpha,0
1SGH,A,alpha,0
1TUE,A,alpha,0
1V1F,A,alpha,0
1V1G,A,alpha,0
1WKM,A,alpha,0
1ZLT,A,alpha,0
2BRO,A,alpha,0
2DFE,A,alpha,0
2EG9,A,alpha,0
2GHG,A,alpha,0
2HQR,A,alpha,0
2P7J,A,alpha,0
2WTW,A,alpha,0
3D0S,A,alpha,0
3K9O,A,alpha,0
3KEO,A,alpha,0
3QZ5,A,alpha,0
4FT0,A,alpha,0
4H4J,A,alpha,0
1BS3,A,alpha,0
1DEL,A,alpha,0
1HCK,A,alpha,0
1JSU,A,alpha,0
1Q6H,A,alpha,0
1Q6I,A,alpha,0
1WPL,A,alpha,0
1YLA,A,alpha,0
1YRP,A,alpha,0
2AEJ,A,alpha,0
2AEM,A,alpha,0
2CGV,A,alpha,0
2CZ0,A,alpha,0
2CZ7,A,alpha,0
