protein,chain,group,group1
5G4E,A,Isomerase,0
2ICJ,A,Isomerase,0
5ABT,A,Isomerase,0
5A5W,A,Isomerase,0
2AGK,A,Isomerase,0
2DHO,A,Isomerase,0
4GJ1,A,Isomerase,0
5AC6,A,Isomerase,0
5AB3,A,Isomerase,0
2W79,A,Isomerase,0
5AC7,A,Isomerase,0
1FM8,A,Isomerase,0
1FM7,A,Isomerase,0
1EYQ,A,Isomerase,0
5L6U,A,Isomerase,0
1EYP,A,Isomerase,0
5G4W,A,Isomerase,0
5AHI,A,Isomerase,0
1JEP,A,Isomerase,0
5G5I,A,Isomerase,0
5G2H,A,Isomerase,0
5G2I,A,Isomerase,0
5AC8,A,Isomerase,0
2CFF,A,Isomerase,0
5G1Y,A,Isomerase,0
5AHF,A,Isomerase,0
6CJN,A,Isomerase,0
5G1T,A,Isomerase,0
5AHE,A,Isomerase,0
5L9F,A,Isomerase,0
4YXG,A,Isomerase,0
1LZO,A,Isomerase,0
4YWI,A,Isomerase,0
2ICK,A,Isomerase,0
1JX0,A,Isomerase,0
5BMX,A,Isomerase,0
1DKW,A,Isomerase,0
1WYI,A,Isomerase,0
2WSQ,A,Isomerase,0
2V2H,A,Isomerase,0
5BMW,A,Isomerase,0
4WD0,A,Isomerase,0
2V0T,A,Isomerase,0
4ZVJ,A,Isomerase,0
2DP3,A,Isomerase,0
1O5X,A,Isomerase,0
2VFD,A,Isomerase,0
3PSV,A,Isomerase,0
2VFF,A,Isomerase,0
4ZZ9,A,Isomerase,0
2JGQ,A,Isomerase,0
5I3G,A,Isomerase,0
3PY2,A,Isomerase,0
2VFH,A,Isomerase,0
4BI7,A,Isomerase,0
5BRB,A,Isomerase,0
4Z0J,A,Isomerase,0
4UNL,A,Isomerase,0
3PSW,A,Isomerase,0
2V2D,A,Isomerase,0
4POC,A,Isomerase,0
4BR1,A,Isomerase,0
2VFI,A,Isomerase,0
5BNK,A,Isomerase,0
5I3F,A,Isomerase,0
4JEQ,A,Isomerase,0
5I3H,A,Isomerase,0
5I3I,A,Isomerase,0
3PVF,A,Isomerase,0
2V2C,A,Isomerase,0
2J27,A,Isomerase,0
5I3J,A,Isomerase,0
5I3K,A,Isomerase,0
4Z0S,A,Isomerase,0
2YPI,A,Isomerase,0
6D43,A,Isomerase,0
2VFE,A,Isomerase,0
4HHP,A,Isomerase,0
4POD,A,Isomerase,0
4FF7,A,Isomerase,0
8TIM,A,Isomerase,0
2BTM,A,Isomerase,0
4P61,A,Isomerase,0
4UNK,A,Isomerase,0
3PWA,A,Isomerase,0
1JX1,A,Isomerase,0
2VXN,A,Isomerase,0
3Q37,A,Isomerase,0
2I6K,A,Isomerase,0
3YPI,A,Isomerase,0
3PF3,A,Isomerase,0
2V5L,A,Isomerase,0
2Y61,A,Isomerase,0
1YPI,A,Isomerase,0
6C2G,A,Isomerase,0
1M7O,A,Isomerase,0
1LYX,A,Isomerase,0
4OBT,A,Isomerase,0
4OWG,A,Isomerase,0
2Y62,A,Isomerase,0
2OMA,A,Isomerase,0
4G1K,A,Isomerase,0
4AXK,A,Isomerase,0
2WSR,A,Isomerase,0
6CJO,A,Isomerase,0
4X22,A,Isomerase,0
1AMK,A,Isomerase,0
4IOT,A,Isomerase,0
4Y8F,A,Isomerase,0
1TIM,A,Isomerase,0
1QDS,A,Isomerase,0
1MO0,A,Isomerase,0
4X2R,A,Isomerase,0
3FDZ,A,Isomerase,0
4NVT,A,Isomerase,0
3KXQ,A,Isomerase,0
4YMZ,A,Isomerase,0
4PGM,A,Isomerase,0
5PGM,A,Isomerase,0
1QHF,A,Isomerase,0
4DOI,A,Isomerase,0
1BQ4,A,Isomerase,0
4MVA,A,Isomerase,0
1AW2,A,Isomerase,0
1BQ3,A,Isomerase,0
3EZN,A,Isomerase,0
3GW8,A,Isomerase,0
4K6A,A,Isomerase,0
3GP3,A,Isomerase,0
4Y9A,A,Isomerase,0
5OLY,A,Isomerase,0
3UWU,A,Isomerase,0
3TAO,A,Isomerase,0
5UF2,A,Isomerase,0
6EEP,A,Isomerase,0
4EMB,A,Isomerase,0
6MC0,A,Isomerase,0
3UWY,A,Isomerase,0
5OK2,A,Isomerase,0
1Z4O,A,Isomerase,0
3TA6,A,Isomerase,0
4X84,A,Isomerase,0
3U7J,A,Isomerase,0
1FZT,A,Isomerase,0
3UWZ,A,Isomerase,0
3UWV,A,Isomerase,0
1M0S,A,Isomerase,0
3M9Y,A,Isomerase,0
1LKZ,A,Isomerase,0
4IO1,A,Isomerase,0
4C4R,A,Isomerase,0
5OLX,A,Isomerase,0
5O6P,A,Isomerase,0
4EO9,A,Isomerase,0
3UW1,A,Isomerase,0
