protein,chain,group,group1
3P44,A,CA,0
3P3J,A,CA,0
3P55,A,CA,0
4IWZ,A,CA,0
3KOI,A,CA,0
6GCY,A,CA,0
5WLU,A,CA,0
4ZWY,A,CA,0
4ZWX,A,CA,0
5EHV,A,CA,0
7RRE,A,CA,0
7RRF,A,CA,0
5SZ0,A,CA,0
5FL5,A,CA,0
6SB7,A,CA,0
3ZP9,A,CA,0
5BRV,A,CA,0
7COI,A,CA,0
7CXW,A,CA,0
7CXX,A,CA,0
1XEG,A,CA,0
6NJ3,A,CA,0
3BOJ,A,CA,0
1BNN,A,CA,0
1BNT,A,CA,0
1BNU,A,CA,0
1BNQ,A,CA,0
1BN1,A,CA,0
1BN3,A,CA,0
1BNV,A,CA,0
1BNM,A,CA,0
1BN4,A,CA,0
5WG7,A,CA,0
1AZM,A,CA,0
5JN8,A,CA,0
2FOQ,A,CA,0
2FOS,A,CA,0
2H15,A,CA,0
2FOU,A,CA,0
2FOY,A,CA,0
2FOV,A,CA,0
6IC2,A,CA,0
5DOH,A,CA,0
5LL4,A,CA,0
6T4O,A,CA,0
6T5C,A,CA,0
6T81,A,CA,0
7C5X,A,CA,0
1QRE,A,CA,0
1ZGF,A,CA,0
1ZH9,A,CA,0
6RG5,A,CA,0
6RM1,A,CA,0
6RMP,A,CA,0
6RIT,A,CA,0
6ROB,A,CA,0
6ROE,A,CA,0
1CNB,A,CA,0
1A42,A,CA,0
7SUY,A,CA,0
3BOB,A,CA,0
3BOE,A,CA,0
3BOH,A,CA,0
4N16,A,CA,0
5THI,A,CA,0
2W2J,A,CA,0
1CAH,A,CA,0
1FQR,A,CA,0
1RZA,A,CA,0
1RZB,A,CA,0
3KOK,A,CA,0
3KON,A,CA,0
1FSQ,B,CA,0
3MF3,A,CA,0
1QQ0,A,CA,0
3D93,A,CA,0
6KM6,A,CA,0
6LV2,A,CA,0
6LV4,A,CA,0
6LV6,A,CA,0
6LV8,A,CA,0
6LVA,A,CA,0
6SKS,A,CA,0
6SKT,A,CA,0
1FR4,A,CA,0
1FSR,A,CA,0
1RZC,A,CA,0
6PDV,A,CA,0
4DZ7,A,CA,0
7QGZ,A,CA,0
3DCC,A,CA,0
4FRC,A,CA,0
4FVN,A,CA,0
5M78,A,CA,0
6SAS,A,CA,0
6SBL,A,CA,0
6SDH,A,CA,0
3M67,A,CA,0
4QJO,A,CA,0
4PZH,A,CA,0
5NEA,A,CA,0
5U0E,A,CA,0
7ONM,A,CA,0
1CNW,A,CA,0
1CNX,A,CA,0
1CNY,A,CA,0
1CIL,A,CA,0
3DCW,A,CA,0
6BCC,A,CA,0
4JSZ,A,CA,0
2EU3,A,CA,0
3W6I,A,CA,0
1BCD,A,CA,0
2X7S,A,CA,0
3N4B,A,CA,0
3OYS,A,CA,0
4ITP,A,CA,0
4YXU,A,CA,0
5DSO,A,CA,0
5DSP,A,CA,0
5DSQ,A,CA,0
5DSR,A,CA,0
5E2K,A,CA,0
5EHW,A,CA,0
5LL8,A,CA,0
5N1R,A,CA,0
6B00,A,CA,0
6LUU,A,CA,0
6LUV,A,CA,0
6LV1,A,CA,0
6LV3,A,CA,0
6LV5,A,CA,0
6LV7,A,CA,0
6LV9,A,CA,0
6OUF,A,CA,0
7JNX,A,CA,0
7K6K,A,CA,0
8DJ9,A,CA,0
1AM6,A,CA,0
1CRM,A,CA,0
1CAN,A,CA,0
1G0F,A,CA,0
1OKL,A,CA,0
1OKM,A,CA,0
1OKN,A,CA,0
1UGC,A,CA,0
1UGE,A,CA,0
1UGF,A,CA,0
2CA2,A,CA,0
2EZ7,A,CA,0
3CA2,A,CA,0
6S9Z,A,CA,0
6SDI,A,CA,0
1ZE8,A,CA,0
2F14,A,CA,0
3K34,A,CA,0
5FDI,A,CA,0
2FW4,A,CA,0
1AVN,A,CA,0
1I8Z,A,CA,0
1I90,A,CA,0
1I91,A,CA,0
1I9L,A,CA,0
1I9M,A,CA,0
1I9N,A,CA,0
1I9O,A,CA,0
7C5Y,A,CA,0
1I9P,A,CA,0
1I9Q,A,CA,0
3KWC,A,CA,0
6QFU,A,CA,0
6QFV,A,CA,0
6EEH,A,CA,0
3M2N,A,CA,0
6QFX,A,CA,0
6QFW,A,CA,0
1KEQ,A,CA,0
6SG6,A,CA,0
4FPT,A,CA,0
4FU5,A,CA,0
4FVO,A,CA,0
4JSA,A,CA,0
4YXO,A,CA,0
4YYT,A,CA,0
6GDC,A,CA,0
6HXD,A,CA,0
7NTB,A,CA,0
3FE4,A,CA,0
6T5Q,A,CA,0
6TL5,A,CA,0
1RZD,A,CA,0
6NJ6,A,CA,0
2WD3,A,CA,0
1CIN,A,CA,0
1BZM,A,CA,0
3DCS,A,CA,0
5KU6,A,CA,0
6OUM,A,CA,0
6SAC,A,CA,0
6SG0,A,CA,0
1Y7W,A,CA,0
7BM4,A,CA,0
7NEX,A,CA,0
7O2S,A,CA,0
7O48,A,CA,0
1RZE,A,CA,0
6H6S,A,CA,0
6XVH,A,CA,0
6XZX,A,CA,0
6YO7,A,CA,0
1CIM,A,CA,0
4LP6,A,CA,0
2A5V,A,CA,0
1KWQ,A,CA,0
1KWR,A,CA,0
1YO1,A,CA,0
1ZNC,A,CA,0
5ZTP,A,CA,0
1QRF,A,CA,0
8DRB,A,CA,0
8DR2,A,CA,0
7NG1,A,CA,0
1BNW,A,CA,0
6PEA,A,CA,0
6WQ4,A,CA,0
6WQ5,A,CA,0
6WQ7,A,CA,0
6WQ8,A,CA,0
6WQ9,A,CA,0
7SV1,A,CA,0
7SUW,A,CA,0
7SV8,A,CA,0
3HLJ,A,CA,0
7NZW,A,CA,0
8DQF,A,CA,0
7K6I,A,CA,0
3OIM,A,CA,0
2X7T,A,CA,0
5FL6,A,CA,0
6JQC,A,CA,0
6JQD,A,CA,0
6JQE,A,CA,0
6LAC,A,CA,0
6LAI,A,CA,0
7COJ,A,CA,0
7CXY,A,CA,0
3Q31,A,CA,0
6YJN,A,CA,0
6YL7,A,CA,0
1G6V,A,CA,0
1V9E,A,CA,0
4CNR,A,CA,0
4CNV,A,CA,0
4CNW,A,CA,0
4CNX,A,CA,0
5A25,A,CA,0
6SKV,A,CA,0
1CZM,A,CA,0
1HCB,A,CA,0
1HUG,A,CA,0
1HUH,A,CA,0
1J9W,A,CA,0
1JV0,A,CA,0
2CAB,A,CA,0
2IT4,A,CA,0
2NMX,A,CA,0
2NN1,A,CA,0
2NN7,A,CA,0
3LXE,A,CA,0
4WR7,A,CA,0
4WUP,A,CA,0
4WUQ,A,CA,0
5E2M,A,CA,0
5GMM,A,CA,0
6EVR,A,CA,0
6EX1,A,CA,0
6F3B,A,CA,0
6FAF,A,CA,0
6FAG,A,CA,0
6G3V,A,CA,0
6HWZ,A,CA,0
6I0J,A,CA,0
6I0L,A,CA,0
6SWM,A,CA,0
6XZE,A,CA,0
6XZO,A,CA,0
6XZS,A,CA,0
6XZY,A,CA,0
6Y00,A,CA,0
7Q0D,A,CA,0
1JCZ,A,CA,0
1JD0,A,CA,0
4HT2,A,CA,0
4KP5,A,CA,0
4KP8,A,CA,0
4Q0L,A,CA,0
4QJ0,A,CA,0
4QJW,A,CA,0
4WW8,A,CA,0
5LL5,A,CA,0
5LL9,A,CA,0
5LLO,A,CA,0
5LLP,A,CA,0
5MSA,A,CA,0
5MSB,A,CA,0
6G5L,A,CA,0
6G7A,A,CA,0
6QN0,A,CA,0
6QNG,A,CA,0
6QNL,A,CA,0
6R6Y,A,CA,0
6R71,A,CA,0
6RPS,A,CA,0
6T5P,A,CA,0
7PP9,A,CA,0
7PUU,A,CA,0
7PUV,A,CA,0
7PUW,A,CA,0
3CZV,A,CA,0
3DA2,A,CA,0
4HU1,A,CA,0
4KNM,A,CA,0
4QIZ,A,CA,0
4QJX,A,CA,0
5E2N,A,CA,0
4LU3,A,CA,0
5CJF,A,CA,0
12CA,A,CA,0
1BIC,A,CA,0
1BV3,A,CA,0
1CA2,A,CA,0
1CA3,A,CA,0
1CAI,A,CA,0
1CAJ,A,CA,0
1CAK,A,CA,0
1CAL,A,CA,0
1CAM,A,CA,0
1CAO,A,CA,0
1CAY,A,CA,0
1CAZ,A,CA,0
1CCS,A,CA,0
1CCT,A,CA,0
1CCU,A,CA,0
1CNC,A,CA,0
1CNG,A,CA,0
1CNH,A,CA,0
1CNI,A,CA,0
1CNJ,A,CA,0
1CNK,A,CA,0
1CRA,A,CA,0
1CVA,A,CA,0
1CVB,A,CA,0
1CVC,A,CA,0
1CVD,A,CA,0
1CVE,A,CA,0
1CVH,A,CA,0
1DCA,A,CA,0
1DCB,A,CA,0
1EOU,A,CA,0
1F2W,A,CA,0
1FQL,A,CA,0
1FQM,A,CA,0
1FR7,A,CA,0
1G0E,A,CA,0
1G1D,A,CA,0
1G3Z,A,CA,0
1G45,A,CA,0
1G46,A,CA,0
1G48,A,CA,0
1G4J,A,CA,0
1G4O,A,CA,0
1G52,A,CA,0
1G53,A,CA,0
1G54,A,CA,0
1H4N,A,CA,0
1H9N,A,CA,0
1H9Q,A,CA,0
1HCA,A,CA,0
1HEA,A,CA,0
1HEB,A,CA,0
1HEC,A,CA,0
1HED,A,CA,0
1IF4,A,CA,0
1IF5,A,CA,0
1IF6,A,CA,0
1IF7,A,CA,0
1IF8,A,CA,0
1IF9,A,CA,0
1LG5,A,CA,0
1LG6,A,CA,0
1LGD,A,CA,0
1LUG,A,CA,0
1LZV,A,CA,0
1MOO,A,CA,0
1MUA,A,CA,0
1OQ5,A,CA,0
1RAY,A,CA,0
1RAZ,A,CA,0
1T9N,A,CA,0
1TG3,A,CA,0
1TG9,A,CA,0
1TH9,A,CA,0
1THK,A,CA,0
1TTM,A,CA,0
1UGA,A,CA,0
1UGB,A,CA,0
